Student_ID,Student_Name,Gender,Branch,CGPA,Skills,Placement_Status,Company_Name,Package_LPA,Placement_Year
S0075,Student_75,Female,IT,5.84,"Java, SQL, Python",Placed,Accenture,9.27,2023
S0076,Student_76,Male,CSE,7.65,"C++, Communication, Java",Placed,TCS,9.82,2024
S0077,Student_77,Female,EEE,7.97,"Communication, SQL, Machine Learning",Placed,Accenture,9.76,2023
S0078,Student_78,Male,Civil,5.55,"C++, Python, Communication",Placed,Infosys,8.55,2025
S0079,Student_79,Male,Mech,6.97,"Excel, Power BI, Communication",Not Placed,Not selected,0,2023
S0080,Student_80,Male,EEE,7.45,"Power BI, SQL, Excel",Placed,IBM,7.5,2023
S0081,Student_81,Female,Civil,6.02,"Python, Java, Data Analysis",Placed,Wipro,5.94,2025
S0082,Student_82,Female,Mech,7.29,"Communication, SQL, Python",Placed,TCS,10.47,2023
S0083,Student_83,Female,CSE,8.91,"Communication, Java, Data Analysis",Placed,Accenture,7.84,2024
S0084,Student_84,Male,CSE,8.7,"Data Analysis, C++, Python",Placed,Wipro,3.24,2025
S0085,Student_85,Male,ECE,8.22,"Machine Learning, Excel, Communication",Not Placed,Not selected,0,2025
S0086,Student_86,Female,EEE,6.97,"Excel, Machine Learning, Communication",Placed,TCS,3.41,2025
S0087,Student_87,Female,ECE,8.18,"SQL, Communication, Excel",Placed,HCL,7.79,2023
S0088,Student_88,Female,Civil,9.7,"Communication, Data Analysis, Java",Placed,Deloitte,6.04,2024
S0089,Student_89,Female,IT,6.36,"SQL, Communication, Excel",Not Placed,Not selected,0,2025
S0090,Student_90,Female,IT,9.29,"Power BI, Machine Learning, Communication",Not Placed,Not selected,0,2025
S0091,Student_91,Female,Civil,9.54,"Excel, Machine Learning, Data Analysis",Not Placed,Not selected,0,2025
S0092,Student_92,Male,CSE,7.31,"Data Analysis, Machine Learning, C++",Not Placed,Not selected,0,2024
S0093,Student_93,Female,IT,5.81,"Data Analysis, Excel, C++",Placed,Accenture,4.3,2023
S0094,Student_94,Female,IT,9.71,"Python, Machine Learning, SQL",Placed,Deloitte,8.17,2023
S0095,Student_95,Female,IT,8.5,"Power BI, Java, Communication",Placed,Accenture,8.66,2024
S0096,Student_96,Female,ECE,6.72,"Communication, C++, Excel",Not Placed,Not selected,0,2025
S0097,Student_97,Male,EEE,7.93,"SQL, Communication, Excel",Placed,TCS,7.08,2024
S0098,Student_98,Female,ECE,7.65,"Communication, Machine Learning, SQL",Placed,IBM,8.61,2024
S0099,Student_99,Male,CSE,7.34,"C++, Power BI, Data Analysis",Placed,IBM,11.65,2023
S0100,Student_100,Female,EEE,9.31,"C++, Machine Learning, Python",Placed,Deloitte,8.84,2024
S0101,Student_101,Male,CSE,9.48,"Power BI, Excel, Communication",Not Placed,Not selected,0,2024
S0102,Student_102,Female,IT,6.93,"C++, Power BI, Java",Placed,Accenture,3.82,2023
S0103,Student_103,Male,IT,7.72,"C++, Power BI, Python",Placed,Infosys,7.23,2023
S0104,Student_104,Female,Civil,5.52,"Java, Power BI, Communication",Placed,Wipro,3.47,2023
S0105,Student_105,Male,Civil,6.47,"Python, Communication, SQL",Placed,IBM,6.9,2025
S0106,Student_106,Female,EEE,8.53,"Java, Communication, Excel",Placed,Accenture,8.21,2025
S0107,Student_107,Male,ECE,6.51,"Data Analysis, C++, Python",Not Placed,Not selected,0,2024
S0108,Student_108,Female,Civil,6.43,"Java, Machine Learning, Data Analysis",Placed,Deloitte,11.4,2023
S0109,Student_109,Male,CSE,6.29,"Excel, C++, Java",Placed,Deloitte,3.36,2024
S0110,Student_110,Male,Mech,8.72,"SQL, Python, Machine Learning",Not Placed,Not selected,0,2023
S0111,Student_111,Male,EEE,8.77,"Data Analysis, Python, SQL",Placed,IBM,4.12,2023
S0112,Student_112,Male,ECE,6.33,"Machine Learning, Excel, Power BI",Placed,Deloitte,3.45,2025
S0113,Student_113,Female,CSE,5.51,"Communication, Excel, Java",Placed,Capgemini,6.09,2024
S0114,Student_114,Male,ECE,6.56,"Python, Machine Learning, Power BI",Placed,IBM,11.98,2023
S0115,Student_115,Female,CSE,8.3,"Excel, Communication, Python",Placed,TCS,7.27,2024
S0116,Student_116,Male,IT,9.09,"Java, Excel, Machine Learning",Not Placed,Not selected,0,2025
S0117,Student_117,Female,Civil,8.13,"Communication, Power BI, Java",Not Placed,Not selected,0,2025
S0118,Student_118,Female,IT,6.01,"Python, Power BI, C++",Placed,IBM,8.02,2023
S0119,Student_119,Female,CSE,8.14,"C++, Excel, Python",Placed,Infosys,4.9,2025
S0120,Student_120,Female,ECE,6.69,"Power BI, SQL, Excel",Not Placed,Not selected,0,2025
S0121,Student_121,Female,Civil,6,"Machine Learning, Java, Data Analysis",Placed,Accenture,4.95,2024
S0122,Student_122,Male,CSE,7.08,"Machine Learning, Python, SQL",Placed,HCL,9.92,2023
S0123,Student_123,Male,CSE,7.59,"Communication, Java, Data Analysis",Not Placed,Not selected,0,2023
S0124,Student_124,Male,ECE,7.97,"C++, Python, Excel",Placed,Infosys,3.41,2024
S0125,Student_125,Male,EEE,8.14,"Power BI, Data Analysis, SQL",Placed,IBM,3.03,2023
S0126,Student_126,Male,EEE,7.68,"Communication, Python, Machine Learning",Not Placed,Not selected,0,2025
S0127,Student_127,Female,ECE,6.18,"Communication, Python, Power BI",Placed,Cognizant,3.82,2025
S0128,Student_128,Female,Mech,7.95,"Power BI, Excel, Data Analysis",Not Placed,Not selected,0,2023
S0129,Student_129,Male,Civil,5.55,"Machine Learning, Java, Communication",Placed,Infosys,9.24,2024
S0130,Student_130,Male,IT,7.63,"Data Analysis, Java, C++",Placed,Accenture,8.64,2025
S0131,Student_131,Male,CSE,8.69,"Power BI, Python, Data Analysis",Placed,Infosys,9.48,2024
S0132,Student_132,Male,Mech,6.11,"Python, Java, SQL",Placed,Accenture,10.79,2023
S0133,Student_133,Female,CSE,5.73,"Python, Excel, Power BI",Placed,Deloitte,7.65,2025
S0134,Student_134,Male,CSE,6.16,"SQL, Machine Learning, C++",Placed,TCS,11.52,2023
S0135,Student_135,Male,Mech,9.66,"Power BI, Java, Communication",Placed,Tech Mahindra,5.88,2023
S0136,Student_136,Male,IT,5.87,"Communication, Power BI, C++",Placed,TCS,5.26,2023
S0137,Student_137,Male,Mech,5.82,"Excel, Machine Learning, Data Analysis",Placed,Accenture,6.64,2023
S0138,Student_138,Female,IT,6.81,"Java, C++, Python",Placed,IBM,9.53,2024
S0139,Student_139,Male,CSE,6.32,"Data Analysis, C++, Excel",Placed,Infosys,3.9,2025
S0140,Student_140,Female,Mech,6.93,"Communication, Data Analysis, SQL",Placed,Wipro,7.83,2024
S0141,Student_141,Male,EEE,6,"Python, Data Analysis, C++",Placed,IBM,10.43,2023
S0142,Student_142,Male,ECE,9.6,"Data Analysis, C++, Communication",Placed,TCS,11.59,2025
S0143,Student_143,Male,CSE,7.11,"Power BI, Java, Machine Learning",Placed,TCS,3.81,2025
S0144,Student_144,Female,Civil,6.18,"Python, Excel, C++",Placed,Tech Mahindra,8.55,2024
S0145,Student_145,Male,EEE,6.09,"C++, Power BI, Excel",Placed,Wipro,3.61,2023
S0146,Student_146,Female,CSE,7.77,"Data Analysis, Python, Excel",Placed,Accenture,5.1,2024
S0147,Student_147,Female,IT,8.54,"Communication, C++, Excel",Placed,Accenture,5.36,2024
S0148,Student_148,Female,CSE,5.83,"Communication, Java, Power BI",Not Placed,Not selected,0,2024
S0149,Student_149,Female,Civil,9.52,"Excel, Communication, Data Analysis",Placed,Deloitte,7.64,2024
S0150,Student_150,Female,Mech,7.61,"SQL, Java, C++",Placed,Accenture,5.29,2023
S0151,Student_151,Female,EEE,8.42,"Python, Excel, C++",Placed,Infosys,7.15,2024
S0152,Student_152,Female,EEE,6.54,"Excel, Machine Learning, Power BI",Not Placed,Not selected,0,2023
S0153,Student_153,Female,IT,7.2,"Power BI, Machine Learning, Excel",Placed,HCL,11.92,2023
S0154,Student_154,Female,CSE,9.61,"Communication, Excel, Data Analysis",Placed,Infosys,9.25,2025
S0155,Student_155,Male,Mech,6.1,"SQL, Power BI, Excel",Not Placed,Not selected,0,2025
S0156,Student_156,Female,CSE,5.8,"Communication, Data Analysis, Java",Placed,Accenture,7.07,2023
S0157,Student_157,Female,ECE,6.18,"SQL, Communication, Python",Not Placed,Not selected,0,2023
S0158,Student_158,Female,EEE,5.91,"Java, C++, Python",Not Placed,Not selected,0,2023
S0159,Student_159,Female,Civil,8.08,"Java, SQL, Excel",Placed,Accenture,9.29,2023
S0160,Student_160,Male,Mech,8.2,"Java, Machine Learning, Communication",Not Placed,Not selected,0,2023
S0161,Student_161,Male,EEE,7.86,"Excel, Java, Machine Learning",Not Placed,Not selected,0,2025
S0162,Student_162,Female,CSE,5.5,"Python, SQL, Machine Learning",Not Placed,Not selected,0,2025
S0163,Student_163,Female,IT,7.88,"Communication, Data Analysis, Excel",Placed,Infosys,8.73,2024
S0164,Student_164,Male,Civil,9.01,"Java, C++, SQL",Placed,Tech Mahindra,10.05,2025
S0165,Student_165,Male,EEE,8.59,"Excel, C++, Data Analysis",Placed,IBM,3.84,2023
S0166,Student_166,Male,EEE,7.89,"Python, Power BI, Communication",Placed,IBM,8.33,2024
S0167,Student_167,Male,EEE,7.8,"Machine Learning, SQL, Java",Placed,Accenture,8.93,2025
S0168,Student_168,Male,CSE,9.04,"Power BI, C++, Data Analysis",Placed,Cognizant,6.87,2023
S0169,Student_169,Male,CSE,6.59,"Java, Communication, Power BI",Not Placed,Not selected,0,2025
S0170,Student_170,Male,Mech,5.54,"C++, Machine Learning, Power BI",Placed,Deloitte,3.87,2025
S0171,Student_171,Female,IT,8.13,"Python, Power BI, Java",Placed,Cognizant,6.87,2023
S0172,Student_172,Female,Civil,7.87,"Python, Power BI, SQL",Placed,Deloitte,10.49,2024
S0173,Student_173,Female,Mech,9.39,"Machine Learning, SQL, Python",Not Placed,Not selected,0,2025
S0174,Student_174,Female,Mech,9.67,"Data Analysis, Excel, Machine Learning",Placed,Deloitte,8.44,2024
S0175,Student_175,Male,CSE,8.21,"Power BI, Machine Learning, Java",Placed,Accenture,6.57,2023
S0176,Student_176,Male,Civil,9.02,"Communication, Excel, Java",Placed,Deloitte,8.6,2025
S0177,Student_177,Female,ECE,5.67,"C++, Power BI, Communication",Placed,Deloitte,5.61,2024
S0178,Student_178,Female,Mech,8.86,"Communication, Machine Learning, Power BI",Not Placed,Not selected,0,2023
S0179,Student_179,Female,IT,6.63,"Java, Excel, SQL",Placed,Accenture,7.92,2024
S0180,Student_180,Female,Mech,7.93,"Python, Communication, C++",Placed,Capgemini,10.82,2024
S0181,Student_181,Male,ECE,9.17,"Java, Excel, Python",Not Placed,Not selected,0,2025
S0182,Student_182,Male,Mech,9,"Communication, C++, Excel",Placed,Deloitte,3.69,2024
S0183,Student_183,Female,ECE,8.01,"Data Analysis, Excel, Python",Placed,HCL,5.66,2025
S0184,Student_184,Female,ECE,7.1,"Communication, Data Analysis, Power BI",Placed,Tech Mahindra,6.02,2024
S0185,Student_185,Female,EEE,9.21,"Machine Learning, C++, Communication",Placed,Capgemini,5.78,2024
S0186,Student_186,Female,EEE,8.44,"Machine Learning, SQL, Power BI",Not Placed,Not selected,0,2025
S0187,Student_187,Female,EEE,6.99,"Java, Machine Learning, Excel",Placed,IBM,10.33,2024
S0188,Student_188,Male,CSE,8.87,"C++, Python, Communication",Placed,TCS,3.01,2025
S0189,Student_189,Male,IT,9.57,"Excel, Java, Power BI",Placed,HCL,7.85,2023
S0190,Student_190,Female,Mech,6.95,"Java, Communication, Excel",Not Placed,Not selected,0,2023
S0191,Student_191,Female,EEE,6.06,"Excel, C++, Data Analysis",Not Placed,Not selected,0,2023
S0192,Student_192,Male,ECE,9.77,"Communication, Excel, SQL",Placed,Wipro,3.02,2023
S0193,Student_193,Female,ECE,9.32,"Communication, Machine Learning, C++",Not Placed,Not selected,0,2024
S0194,Student_194,Female,EEE,5.95,"Java, SQL, Machine Learning",Placed,Deloitte,3.06,2023
S0195,Student_195,Female,EEE,5.67,"SQL, Data Analysis, Machine Learning",Placed,HCL,5.49,2024
S0196,Student_196,Male,ECE,6.42,"Data Analysis, Java, Power BI",Placed,Infosys,11.09,2024
S0197,Student_197,Male,EEE,8.27,"Python, Java, Data Analysis",Placed,IBM,4.44,2023
S0198,Student_198,Female,Civil,7.39,"Python, Data Analysis, Communication",Not Placed,Not selected,0,2025
S0199,Student_199,Female,Mech,8.57,"SQL, Machine Learning, Communication",Placed,Deloitte,3.35,2023
S0200,Student_200,Female,Mech,7.83,"Python, C++, Power BI",Placed,Deloitte,8.01,2023
S0201,Student_201,Male,Civil,6.91,"Data Analysis, Power BI, Java",Not Placed,Not selected,0,2023
S0202,Student_202,Male,IT,8.22,"Python, Java, Machine Learning",Not Placed,Not selected,0,2025
S0203,Student_203,Male,Mech,8.02,"Python, Data Analysis, SQL",Not Placed,Not selected,0,2025
S0204,Student_204,Female,Civil,5.86,"Python, Java, C++",Not Placed,Not selected,0,2023
S0205,Student_205,Male,CSE,9.04,"SQL, Communication, Python",Placed,Capgemini,9.37,2023
S0206,Student_206,Male,Mech,6.89,"Machine Learning, Python, Data Analysis",Not Placed,Not selected,0,2024
S0207,Student_207,Male,EEE,9.16,"Machine Learning, Excel, Power BI",Placed,Wipro,4.88,2025
S0208,Student_208,Male,ECE,6.7,"Communication, C++, Machine Learning",Not Placed,Not selected,0,2024
S0209,Student_209,Female,EEE,9.68,"Python, C++, Java",Placed,Cognizant,5.93,2024
S0210,Student_210,Female,CSE,8.1,"Power BI, C++, Python",Placed,Tech Mahindra,4.26,2024
S0211,Student_211,Male,EEE,5.69,"SQL, C++, Excel",Placed,HCL,6.1,2023
S0212,Student_212,Male,ECE,7.15,"Communication, SQL, Power BI",Not Placed,Not selected,0,2025
S0213,Student_213,Male,IT,6.08,"Power BI, Excel, SQL",Placed,IBM,3.17,2025
S0214,Student_214,Female,EEE,7.05,"Java, Excel, C++",Not Placed,Not selected,0,2024
S0215,Student_215,Female,Civil,8.13,"Data Analysis, Python, Excel",Placed,Capgemini,3.35,2025
S0216,Student_216,Female,EEE,8.89,"Excel, Power BI, C++",Placed,Infosys,9.61,2024
S0217,Student_217,Male,CSE,7.54,"Data Analysis, C++, Communication",Placed,Infosys,7.07,2024
S0218,Student_218,Male,ECE,5.71,"Machine Learning, Excel, C++",Not Placed,Not selected,0,2025
S0219,Student_219,Male,Civil,8.26,"Communication, C++, Python",Placed,Tech Mahindra,6,2023
S0220,Student_220,Female,Mech,6.22,"SQL, C++, Data Analysis",Placed,Accenture,11.68,2025
S0221,Student_221,Male,IT,9.31,"SQL, Communication, Excel",Placed,Capgemini,3.76,2023
S0222,Student_222,Male,Mech,8.2,"Python, SQL, Power BI",Not Placed,Not selected,0,2023
S0223,Student_223,Female,EEE,8.24,"Python, SQL, Excel",Placed,HCL,10.63,2025
S0224,Student_224,Female,ECE,7.44,"Power BI, C++, Python",Placed,Cognizant,9.79,2025
S0225,Student_225,Male,CSE,8.52,"Communication, Java, Data Analysis",Not Placed,Not selected,0,2024
S0226,Student_226,Female,CSE,8.74,"SQL, Communication, Python",Placed,HCL,10.46,2024
S0227,Student_227,Male,EEE,9.63,"Data Analysis, Machine Learning, C++",Placed,TCS,10.1,2025
S0228,Student_228,Female,Civil,8.53,"Communication, Java, SQL",Not Placed,Not selected,0,2025
S0229,Student_229,Female,Civil,5.66,"Machine Learning, Java, Excel",Placed,Capgemini,11.24,2023
S0230,Student_230,Female,EEE,9.78,"Excel, Machine Learning, C++",Not Placed,Not selected,0,2024
S0231,Student_231,Male,Mech,7.43,"Data Analysis, C++, Machine Learning",Placed,TCS,9.43,2024
S0232,Student_232,Male,IT,6.95,"Excel, Communication, Python",Not Placed,Not selected,0,2023
S0233,Student_233,Female,ECE,9.13,"Data Analysis, Excel, Java",Placed,Deloitte,8.2,2025
S0234,Student_234,Female,Civil,9.32,"Power BI, C++, Python",Placed,Accenture,9.13,2024
S0235,Student_235,Female,ECE,6.2,"C++, Communication, Machine Learning",Placed,HCL,7.39,2025
S0236,Student_236,Male,ECE,6.33,"Python, Excel, Communication",Not Placed,Not selected,0,2023
S0237,Student_237,Male,IT,7.54,"SQL, Excel, Power BI",Placed,Accenture,6.43,2023
S0238,Student_238,Female,IT,6.46,"Communication, Java, Python",Placed,Accenture,3.67,2023
S0239,Student_239,Male,Mech,9.72,"Communication, Data Analysis, Excel",Placed,Wipro,10.05,2024
S0240,Student_240,Male,Mech,7.32,"Python, Power BI, SQL",Placed,Tech Mahindra,11.94,2024
S0241,Student_241,Male,Mech,8.31,"Data Analysis, Power BI, SQL",Placed,Capgemini,7.02,2023
S0242,Student_242,Female,ECE,6.04,"Data Analysis, Communication, Power BI",Placed,Accenture,7.93,2025
S0243,Student_243,Male,EEE,7.57,"C++, Java, Python",Not Placed,Not selected,0,2023
S0244,Student_244,Female,IT,7.15,"Data Analysis, C++, Excel",Not Placed,Not selected,0,2024
S0245,Student_245,Male,Mech,6.51,"Power BI, Data Analysis, Java",Placed,Deloitte,9.53,2023
S0246,Student_246,Male,CSE,8.09,"Machine Learning, Communication, Excel",Placed,Cognizant,6.5,2023
S0247,Student_247,Female,ECE,8.01,"Python, Data Analysis, Machine Learning",Not Placed,Not selected,0,2025
S0248,Student_248,Male,CSE,5.99,"Python, Machine Learning, C++",Placed,Tech Mahindra,3.22,2023
S0249,Student_249,Male,Civil,6.8,"C++, Machine Learning, Excel",Not Placed,Not selected,0,2023
S0250,Student_250,Female,ECE,6.77,"Communication, Python, Data Analysis",Not Placed,Not selected,0,2023
S0251,Student_251,Female,EEE,6.71,"C++, Java, Power BI",Placed,TCS,9.02,2024
S0252,Student_252,Male,Civil,7.57,"Power BI, Python, Machine Learning",Not Placed,Not selected,0,2023
S0253,Student_253,Female,EEE,9.44,"Machine Learning, Python, SQL",Placed,TCS,10.11,2024
S0254,Student_254,Female,IT,7.32,"C++, Java, Python",Not Placed,Not selected,0,2024
S0255,Student_255,Female,EEE,7.52,"Communication, Python, SQL",Not Placed,Not selected,0,2023
S0256,Student_256,Male,CSE,8.09,"Communication, SQL, Python",Placed,TCS,5.95,2023
S0257,Student_257,Female,Civil,8.03,"Data Analysis, Power BI, Excel",Placed,Deloitte,10.81,2024
S0258,Student_258,Male,ECE,5.92,"Data Analysis, Communication, SQL",Not Placed,Not selected,0,2023
S0259,Student_259,Male,Mech,6.42,"Java, Power BI, Machine Learning",Not Placed,Not selected,0,2024
S0260,Student_260,Female,CSE,6.76,"Machine Learning, Java, Communication",Placed,Infosys,5.92,2025
S0261,Student_261,Male,EEE,8.84,"Python, Excel, C++",Placed,TCS,9.66,2025
S0262,Student_262,Male,EEE,8.57,"Java, C++, SQL",Placed,IBM,7.35,2023
S0263,Student_263,Male,ECE,8.91,"SQL, Power BI, Communication",Placed,Deloitte,3.06,2023
S0264,Student_264,Female,IT,8.5,"Java, Machine Learning, C++",Placed,Capgemini,10.13,2024
S0265,Student_265,Male,Civil,9.28,"Power BI, C++, Communication",Not Placed,Not selected,0,2025
S0266,Student_266,Female,Civil,7.97,"Python, Communication, Java",Placed,Cognizant,9.34,2024
S0267,Student_267,Female,CSE,7.57,"Power BI, Excel, Python",Placed,Accenture,4.74,2025
S0268,Student_268,Male,Civil,7.04,"Python, Communication, Machine Learning",Placed,Cognizant,3.15,2025
S0269,Student_269,Male,Civil,8.37,"Excel, C++, Communication",Not Placed,Not selected,0,2025
S0270,Student_270,Female,Mech,9.02,"Excel, Data Analysis, SQL",Placed,Capgemini,7.52,2024
S0271,Student_271,Male,IT,6.34,"SQL, Python, Power BI",Not Placed,Not selected,0,2024
S0272,Student_272,Male,Civil,6.71,"Excel, Machine Learning, Data Analysis",Placed,TCS,3.9,2025
S0273,Student_273,Female,EEE,8.31,"SQL, Machine Learning, Power BI",Placed,IBM,8.3,2023
S0274,Student_274,Male,Civil,6.89,"Python, Communication, SQL",Not Placed,Not selected,0,2023
S0275,Student_275,Male,ECE,7.14,"Data Analysis, Java, C++",Placed,Capgemini,10.61,2023
S0276,Student_276,Female,CSE,5.71,"Machine Learning, Java, Data Analysis",Placed,Accenture,4.78,2023
